#bgImage,scrollSpeed,,,,,,,,,
bg1.png,1,,,,,,,,,
#enemyType,initPx,initPy,timing,moveType,moveSpeed,moveAngle,shotImage,shotType,shotSpeed,shotInterval
Sphere,-30,50,20,straight,3,0,Rocket,swirl,5,2
Sphere,-30,50,40,straight,3,0,Rocket,swirl,5,2
Sphere,-30,50,60,straight,3,0,Rocket,swirl,5,2
Sphere,-30,50,80,straight,3,0,Rocket,swirl,5,2
Sphere,-30,50,100,straight,3,0,Rocket,swirl,5,2
Fuji,270,-200,150,fuji,1,90,Rocket,target,4,20
Fuji_LeftWing,401,-177,150,fuji_left,1,90,Rocket,swirl,3,1
Fuji_RightWing,139,-177,150,fuji_right,1,90,Rocket,swirl,3,1
Fuji_BackLeftWing,401,-177,150,fuji_back_left,1,90,Rocket,swirl,3,1
Fuji_BackRightWing,139,-177,150,fuji_back_right,1,90,Rocket,swirl,3,1
